                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.58181,                0.38165,                0.94377,                0.92642,                0.94092,                 0.9654,                0.82698,                0.64417,                0.41549,                0.96395,               0.002575,               0.002575,               0.002575
                     77,                0.57533,                0.37676,                0.93943,                 0.9344,                 0.9214,                0.96046,                0.83016,                0.63035,                0.42783,                0.95475,               0.002476,               0.002476,               0.002476
                     78,                0.58084,                0.38078,                0.94508,                0.91696,                0.94938,                0.96005,                0.82576,                0.63753,                0.41763,                0.95918,               0.002377,               0.002377,               0.002377
                     79,                0.57148,                 0.3795,                0.94113,                0.93166,                0.93039,                0.96228,                0.82842,                0.64365,                0.43219,                0.96316,               0.002278,               0.002278,               0.002278
                     80,                0.56289,                0.37145,                0.93749,                0.92305,                0.93032,                0.95729,                  0.826,                0.63129,                0.43094,                0.95399,               0.002179,               0.002179,               0.002179
                     81,                0.56077,                0.36614,                0.93452,                0.93812,                0.92234,                0.95962,                0.82419,                0.63822,                 0.4297,                0.95804,                0.00208,                0.00208,                0.00208
                     82,                0.56101,                0.36805,                0.93541,                0.92886,                 0.9371,                0.96246,                 0.8281,                0.64012,                0.42119,                0.96326,               0.001981,               0.001981,               0.001981
                     83,                0.55476,                0.36196,                0.92782,                0.92394,                 0.9314,                 0.9591,                0.82887,                0.63674,                0.43418,                0.96577,               0.001882,               0.001882,               0.001882
                     84,                0.54937,                0.35946,                0.92315,                0.92364,                 0.9362,                0.95715,                 0.8218,                0.62703,                0.41565,                0.95365,               0.001783,               0.001783,               0.001783
                     85,                0.55074,                0.35876,                0.92715,                0.94081,                0.92354,                0.95998,                0.82977,                0.62802,                0.42629,                0.95387,               0.001684,               0.001684,               0.001684
                     86,                0.54101,                0.35596,                0.92287,                0.91705,                0.94439,                0.96269,                 0.8314,                0.63336,                0.41602,                0.95626,               0.001585,               0.001585,               0.001585
                     87,                0.54643,                0.35559,                0.92933,                  0.939,                0.91739,                0.96073,                0.82946,                0.63411,                0.41939,                0.96031,               0.001486,               0.001486,               0.001486
                     88,                0.54757,                0.35177,                0.93269,                0.91962,                0.93461,                 0.9594,                0.83023,                0.63074,                0.42988,                0.96115,               0.001387,               0.001387,               0.001387
                     89,                0.53566,                0.34913,                 0.9251,                0.94075,                0.91811,                0.96051,                0.83091,                0.63345,                0.42144,                 0.9607,               0.001288,               0.001288,               0.001288
                     90,                 0.5321,                0.34745,                0.92161,                0.92159,                0.93733,                0.95987,                0.82896,                 0.6299,                 0.4219,                 0.9613,               0.001189,               0.001189,               0.001189
                     91,                0.52581,                0.33938,                 0.9197,                0.93782,                0.92572,                0.95694,                0.82618,                0.63246,                0.41964,                0.96209,                0.00109,                0.00109,                0.00109
                     92,                 0.5224,                 0.3347,                0.91894,                0.93444,                 0.9244,                0.95676,                0.82811,                0.62893,                0.43439,                0.95543,               0.000991,               0.000991,               0.000991
                     93,                0.52324,                0.33663,                0.92233,                0.93643,                0.92207,                0.95731,                0.82801,                0.62381,                 0.4253,                0.95465,               0.000892,               0.000892,               0.000892
                     94,                0.52178,                0.33421,                0.92037,                 0.9167,                0.94688,                0.96065,                 0.8329,                0.62747,                 0.4222,                0.95693,               0.000793,               0.000793,               0.000793
                     95,                0.51651,                0.33129,                0.91717,                0.93535,                 0.9297,                0.95984,                0.83263,                0.62654,                0.42199,                0.95463,               0.000694,               0.000694,               0.000694
                     96,                0.51522,                0.33249,                0.91787,                0.93726,                 0.9267,                 0.9597,                0.83142,                0.62934,                0.42384,                0.95773,               0.000595,               0.000595,               0.000595
                     97,                0.50943,                0.32398,                0.91904,                  0.942,                0.92045,                0.95936,                0.83266,                0.62699,                0.42192,                0.95399,               0.000496,               0.000496,               0.000496
                     98,                0.51137,                0.32368,                0.91123,                0.93622,                0.92544,                0.95877,                0.83298,                0.62437,                0.42413,                0.95291,               0.000397,               0.000397,               0.000397
                     99,                0.50952,                0.32412,                0.91811,                0.93821,                0.92057,                0.95859,                0.83172,                0.62526,                0.42286,                 0.9549,               0.000298,               0.000298,               0.000298
