                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.58146,                0.40824,                0.92694,                0.74429,                0.90216,                0.81523,                 0.7297,                0.44634,                0.53129,                0.85486,               0.001189,               0.001189,               0.001189
                     91,                0.57813,                0.41363,                0.93308,                0.74075,                0.89036,                0.80337,                0.72501,                0.44086,                0.55226,                0.85197,                0.00109,                0.00109,                0.00109
                     92,                0.57639,                0.40469,                0.93282,                 0.7501,                 0.9019,                0.81788,                0.73725,                0.44184,                 0.5413,                0.85593,               0.000991,               0.000991,               0.000991
                     93,                0.57514,                0.40569,                0.92845,                0.75338,                0.88573,                0.81049,                0.72385,                0.44915,                0.54371,                0.86275,               0.000892,               0.000892,               0.000892
                     94,                  0.564,                0.39653,                0.92486,                0.74246,                 0.9167,                0.81213,                0.72738,                0.44918,                0.53936,                0.85697,               0.000793,               0.000793,               0.000793
                     95,                0.57098,                0.40226,                0.92726,                0.74318,                0.89028,                0.81796,                0.72889,                0.43627,                0.53048,                  0.851,               0.000694,               0.000694,               0.000694
                     96,                0.57386,                0.40276,                0.92549,                0.74635,                0.89538,                0.81658,                0.73577,                0.43455,                0.53338,                0.84695,               0.000595,               0.000595,               0.000595
                     97,                0.56636,                0.39241,                0.92355,                 0.7365,                0.89782,                0.80584,                0.72494,                0.44247,                 0.5369,                0.85218,               0.000496,               0.000496,               0.000496
                     98,                0.55492,                0.38586,                0.92367,                0.73514,                0.90488,                 0.8131,                0.73289,                0.44062,                0.54029,                0.85109,               0.000397,               0.000397,               0.000397
                     99,                0.56147,                0.38613,                 0.9265,                0.75115,                0.88706,                0.81272,                0.72924,                0.43871,                0.52607,                0.85159,               0.000298,               0.000298,               0.000298
