                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.57707,                0.46682,                0.95023,                0.81198,                0.91409,                0.91199,                 0.8137,                0.54809,                0.52309,                0.90701,                0.00307,                0.00307,                0.00307
                     72,                0.58138,                0.46585,                0.95087,                0.81806,                0.93386,                0.92222,                0.82743,                0.54439,                0.50388,                0.90095,               0.002971,               0.002971,               0.002971
                     73,                0.57689,                0.46963,                0.94599,                0.84236,                0.89035,                0.91131,                0.81229,                0.54655,                0.53706,                0.90907,               0.002872,               0.002872,               0.002872
                     74,                0.56495,                0.45323,                0.94449,                0.80357,                 0.9245,                0.91041,                0.81217,                0.55082,                0.52635,                0.90962,               0.002773,               0.002773,               0.002773
                     75,                0.56435,                0.45314,                0.94001,                0.80219,                0.88752,                0.88054,                0.78586,                0.54979,                0.56197,                0.90433,               0.002674,               0.002674,               0.002674
                     76,                0.55904,                0.44408,                0.93544,                0.83649,                0.92471,                0.92873,                0.83251,                0.53945,                0.48376,                0.89753,               0.002575,               0.002575,               0.002575
                     77,                0.56024,                0.44573,                 0.9368,                0.81853,                0.93047,                0.92139,                0.82361,                0.53829,                0.50186,                0.89749,               0.002476,               0.002476,               0.002476
                     78,                 0.5608,                0.44228,                0.93792,                0.82114,                0.92138,                0.91586,                0.81904,                0.54119,                0.51239,                0.89914,               0.002377,               0.002377,               0.002377
                     79,                0.55371,                0.43515,                0.93431,                0.84136,                0.92284,                0.92752,                0.82874,                0.54166,                0.49304,                0.90177,               0.002278,               0.002278,               0.002278
                     80,                0.55157,                0.42793,                0.93556,                0.84698,                0.89327,                0.91337,                0.81667,                 0.5354,                0.51791,                 0.9013,               0.002179,               0.002179,               0.002179
                     81,                0.55218,                0.42991,                0.93448,                0.83222,                0.91121,                0.92239,                0.82543,                0.53842,                0.51282,                0.90297,                0.00208,                0.00208,                0.00208
                     82,                0.54493,                 0.4264,                0.93155,                0.84068,                0.89744,                0.91549,                0.82067,                 0.5377,                0.52344,                0.90225,               0.001981,               0.001981,               0.001981
                     83,                0.54106,                 0.4199,                0.93215,                0.82936,                0.90074,                0.90116,                0.80728,                0.53372,                0.53177,                0.89786,               0.001882,               0.001882,               0.001882
                     84,                0.53555,                0.41618,                0.92958,                0.83605,                 0.9027,                0.91094,                0.81813,                0.53178,                0.51404,                 0.8979,               0.001783,               0.001783,               0.001783
                     85,                0.52997,                0.40597,                0.92389,                0.80549,                 0.9128,                0.89536,                0.80249,                0.52828,                0.53546,                0.89314,               0.001684,               0.001684,               0.001684
                     86,                0.52815,                0.40509,                0.92663,                0.83023,                0.88308,                0.90006,                0.80883,                 0.5295,                0.54854,                0.89509,               0.001585,               0.001585,               0.001585
                     87,                0.53089,                0.40219,                0.92851,                0.83388,                0.89214,                0.90539,                0.81505,                 0.5272,                0.52433,                0.89564,               0.001486,               0.001486,               0.001486
                     88,                0.52072,                0.39273,                0.92233,                0.83336,                0.89253,                 0.9017,                0.81059,                  0.525,                0.52985,                0.89216,               0.001387,               0.001387,               0.001387
                     89,                0.51522,                0.39358,                0.92349,                0.82023,                0.90317,                0.89974,                0.80939,                0.52577,                 0.5331,                0.89312,               0.001288,               0.001288,               0.001288
                     90,                0.52155,                0.38929,                 0.9231,                0.81562,                0.90474,                0.90277,                0.81079,                0.52652,                0.53848,                  0.892,               0.001189,               0.001189,               0.001189
                     91,                0.51406,                0.38518,                 0.9202,                0.82134,                0.90346,                0.90603,                0.81505,                0.52377,                 0.5333,                0.89185,                0.00109,                0.00109,                0.00109
                     92,                0.51192,                 0.3785,                0.92277,                 0.8174,                0.90674,                0.90449,                0.81433,                0.52284,                 0.5373,                0.89214,               0.000991,               0.000991,               0.000991
                     93,                0.51091,                0.38283,                 0.9181,                0.82866,                0.89086,                 0.8995,                0.80847,                0.52388,                0.54817,                0.89218,               0.000892,               0.000892,               0.000892
                     94,                0.50417,                0.36491,                 0.9142,                0.82392,                0.89707,                0.89641,                0.80411,                0.52218,                 0.5619,                0.88944,               0.000793,               0.000793,               0.000793
                     95,                0.50642,                0.37444,                0.91629,                0.80312,                0.89433,                0.88456,                0.79398,                0.52242,                 0.5813,                0.89025,               0.000694,               0.000694,               0.000694
                     96,                0.50609,                0.37018,                 0.9219,                0.81666,                 0.8781,                0.88193,                0.79219,                0.52213,                0.58659,                0.89136,               0.000595,               0.000595,               0.000595
                     97,                0.50656,                0.36993,                0.91886,                0.80664,                0.89212,                0.88551,                0.79585,                0.52097,                0.57592,                 0.8911,               0.000496,               0.000496,               0.000496
                     98,                0.49631,                0.36729,                0.91806,                0.80188,                0.89951,                0.88504,                0.79407,                0.52306,                0.57764,                0.89285,               0.000397,               0.000397,               0.000397
                     99,                0.49827,                0.36251,                0.91739,                0.81048,                0.88316,                0.88017,                0.79065,                0.52244,                 0.5841,                0.89408,               0.000298,               0.000298,               0.000298
